记账日期,所属类别,建材名称,金额,备注
2026-11-09,家具,梳妆台椅子+餐桌椅子,2000.0,
2026-06-20,家电,洗衣机2,7500.0,
2026-06-20,软装,沙发地毯,2000.0,
2026-06-20,家具,边柜,2559.0,
2026-06-20,软装,闺女屋灯带,58.0,
2026-06-20,软装,厨房射灯,12.7,
2026-06-20,软装,玄关灯,399.64,
2026-06-20,软装,北阳台小灯,150.0,
2026-06-20,软装,闺女屋南瓜灯,666.48,
2026-06-20,家具,客厅单人沙发,2836.0,
2026-05-19,家具,沙发床,2033.73,
2026-05-16,家电,nas,2500.0,
2026-05-03,硬装,纱窗,1400.0,
2026-03-03,全屋定制,全屋定制,105500.0,包含衣柜，橱柜，门和套线，踢脚线，一个卫生间门
2026-03-03,软装,窗帘,8000.0,
2026-02-10,家电,路由器,950.0,
2026-02-10,硬装,洗菜盆,1327.0,
2026-02-10,家具,客厅边几,1000.0,
2026-02-09,家电,电视,22000.0,
2026-02-09,家具,床头柜*4,2000.0,
2026-02-09,卫浴,次卫浴室柜,6500.0,
2026-02-09,卫浴,次卫花洒,1500.0,
2026-02-09,卫浴,主卫花洒,2800.0,
2026-02-09,卫浴,次卫马桶,2000.0,
2026-02-09,卫浴,主马桶,3500.0,
2026-02-09,硬装,角阀，球阀，胶，软管等,1000.0,
2026-02-09,家电,拖地机,3500.0,
2026-02-09,软装,卡座垫子，飘窗垫子,2000.0,
2026-02-09,软装,挂画,3000.0,
2026-02-09,软装,5个主灯,2894.46,
2026-02-09,家电,冰箱,8100.0,
2026-02-09,家电,烘烤一体机,3500.0,
2026-02-09,家电,扫地机器人,3500.0,
2026-02-09,硬装,柜子拉手,1200.0,
2026-02-09,家具,次卧床,3400.0,
2026-02-09,家具,电视柜,5311.48,
2026-02-09,家具,大沙发,17420.0,
2026-02-09,家具,单人沙发,2000.0,
2026-02-09,家电,洗衣机1,3625.0,
2026-02-09,家电,洗碗机99mc,7800.0,
2026-02-09,家电,燃气热水器,3650.0,
2026-02-09,硬装,后阳台滑轨,278.0,
2026-02-09,硬装,美缝,3500.0,
2026-02-09,卫浴,进门台盆,2500.0,
2026-02-09,卫浴,次卫浴霸,373.0,
2026-02-09,卫浴,双卫生间吊顶+主卫机器,5000.0,
2026-02-09,硬装,一个卫生间门,1400.0,
2026-02-09,硬装,mf涂料,7800.0,
2026-02-09,硬装,开关插座,1711.0,
2026-02-09,硬装,地漏4,500.0,
2026-02-09,硬装,空调移机+新风移机,5500.0,
2026-02-09,硬装,窗台石,4520.0,
2026-02-09,硬装,壁龛,257.0,
2026-02-09,硬装,增项,5500.0,浴缸池子1800，客厅和餐厅灯带 工费1200+1200=2400，厨房和次卫生间换大砖1300
2026-02-09,卫浴,浴缸,5000.0,
2026-02-09,卫浴,主卧浴室柜,2500.0,
2026-02-09,家具,餐桌+2把椅子,3500.0,
2026-02-09,家电,电动晾衣杆,1515.0,
2026-02-09,家电,烟机灶具,6800.0,
2026-02-09,家具,次卧床垫,1900.0,
2026-02-09,家具,主卧床和床垫,10100.0,
2026-02-09,硬装,封窗户,12500.0,
2026-02-09,全屋智能,,22100.0,已交2w
2026-02-09,全屋净水,,11000.0,已交6000
2026-02-09,硬装,地砖和墙砖,19500.0,
2026-02-09,硬装,半包,118000.0,
